view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,condition,responses,initial_locations,moves,final_locations,stimulus,button_pressed
"[{""page_index"":0,""viewing_time"":1669.5999999996275},{""page_index"":1,""viewing_time"":880.2000000011176},{""page_index"":2,""viewing_time"":688.1999999992549}]",3238.9,instructions,0,3243,0.0-0.0,"18.8.2023, 15:37:46",conditionC,,,,,,
,6896.5,survey-text,1,10143,0.0-1.0,"18.8.2023, 15:37:46",conditionC,"{""Q0"":""21""}",,,,,
"[{""page_index"":0,""viewing_time"":1094.0999999996275},{""page_index"":1,""viewing_time"":563.9000000003725},{""page_index"":2,""viewing_time"":1328.2999999988824}]",2986.6,instructions,2,13130,0.0-2.0,"18.8.2023, 15:37:46",conditionC,,,,,,
,25266.9,order,3,38398,0.0-3.0,"18.8.2023, 15:37:46",conditionC,,"[""test_3"",""test_4"",""test_1"",""test_2""]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":39,""y"":338,""move_time"":2592},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":39,""y"":100,""move_time"":3715},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":39,""y"":338,""move_time"":5523},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":200,""y"":338,""move_time"":3162},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":361,""y"":338,""move_time"":1894},{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":523,""y"":338,""move_time"":2054}]","[{""src"":""http://34.125.186.26/images/test_3.jpg"",""x"":523,""y"":338,""move_time"":2054}]",1,
"[{""page_index"":0,""viewing_time"":1590.5999999996275}]",1591,instructions,4,39990,0.0-4.0,"18.8.2023, 15:37:46",conditionC,,,,,,
,1666.5,order,5,41657,0.0-5.0,"18.8.2023, 15:37:46",conditionC,,"[""2_5"",""2_6"",""2_7"",""2_8""]",[],[],,
,991.6,html-button-response,6,42650,0.0-6.0,"18.8.2023, 15:37:46",conditionC,,,,,<p>How difficult was it to order the pictures?</p>,4
,977.3,survey-text,7,43630,0.0-7.0,"18.8.2023, 15:37:46",conditionC,"{""Q0"":""""}",,,,,
,17290.4,order,8,60934,0.0-8.0,"18.8.2023, 15:37:46",conditionC,,"[""7_1"",""7_2"",""7_4"",""7_3""]","[{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":361,""y"":338,""move_time"":1067},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":200,""y"":338,""move_time"":2877},{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":39,""y"":338,""move_time"":895},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":523,""y"":338,""move_time"":1556},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":361,""y"":338,""move_time"":1752}]","[{""src"":""http://34.125.186.26/images/7_1.jpg"",""x"":39,""y"":338,""move_time"":895},{""src"":""http://34.125.186.26/images/7_2.jpg"",""x"":200,""y"":338,""move_time"":2877},{""src"":""http://34.125.186.26/images/7_3.jpg"",""x"":361,""y"":338,""move_time"":1752},{""src"":""http://34.125.186.26/images/7_4.jpg"",""x"":361,""y"":338,""move_time"":1067}]",,
,1074.7,html-button-response,9,62010,0.0-9.0,"18.8.2023, 15:37:46",conditionC,,,,,<p>How difficult was it to order the pictures?</p>,4
,935.4,survey-text,10,62946,0.0-10.0,"18.8.2023, 15:37:46",conditionC,"{""Q0"":""""}",,,,,
,1535,order,11,64482,0.0-11.0,"18.8.2023, 15:37:46",conditionC,,"[""2_5"",""2_6"",""2_7"",""2_8""]",[],[],,
,1050.9,html-button-response,12,65534,0.0-12.0,"18.8.2023, 15:37:46",conditionC,,,,,<p>How difficult was it to order the pictures?</p>,3
,815.1,survey-text,13,66351,0.0-13.0,"18.8.2023, 15:37:46",conditionC,"{""Q0"":""""}",,,,,
,2050.8,order,14,68402,0.0-14.0,"18.8.2023, 15:37:46",conditionC,,"[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":361,""y"":338,""move_time"":981}]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":361,""y"":338,""move_time"":981}]",,
,863.2,html-button-response,15,69266,0.0-15.0,"18.8.2023, 15:37:46",conditionC,,,,,<p>How difficult was it to order the pictures?</p>,3
,1319.2,survey-text,16,70586,0.0-16.0,"18.8.2023, 15:37:46",conditionC,"{""Q0"":""""}",,,,,
,1635.1,order,17,72222,0.0-17.0,"18.8.2023, 15:37:46",conditionC,,"[""2_5"",""2_6"",""2_7"",""2_8""]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":361,""y"":338,""move_time"":1016}]","[{""src"":""http://34.125.186.26/images/2_7.jpg"",""x"":361,""y"":338,""move_time"":1016}]",,
,975,html-button-response,18,73199,0.0-18.0,"18.8.2023, 15:37:46",conditionC,,,,,<p>How difficult was it to order the pictures?</p>,3
,874.2,survey-text,19,74074,0.0-19.0,"18.8.2023, 15:37:46",conditionC,"{""Q0"":""""}",,,,,
